12,2.99,0.02,0.25,0.21,0.02,0.02,290.36776831301177,2.903677683130118,5.095235353999669,2.499278270001014
11,3.11,0.01,0.19,0.18,0.01,0.01,592.6110125850028,2.963055062925014,5.095235353999669,2.499278270001014
10,3.05,0.01,0.19,0.19,0.01,0.01,893.6483226410091,2.9788277421366973,5.095235353999669,2.499278270001014
9,3.14,0.03,0.19,0.17,0.03,0.03,1236.4792978950045,3.091198244737511,5.095235353999669,2.499278270001014
8,3.04,0.02,0.16,0.2,0.02,0.02,1631.5478820770077,3.2630957641540155,5.116373958999247,2.499278270001014
7,3.26,0.0,0.14,0.16,0.0,0.0,2040.049067856,3.40008177976,5.116373958999247,2.499278270001014
6,2.96,0.01,0.15,0.19,0.01,0.01,3689.296541472997,5.27042363067571,17.185448741000073,2.499278270001014
5,2.88,0.0,0.14,0.19,0.0,0.0,5342.721768656997,6.678402210821246,17.593744059000528,2.499278270001014
4,3.05,0.02,0.14,0.17,0.02,0.02,7038.536436894001,7.820596040993334,17.849746748999678,2.499278270001014
3,1.65,0.3,0.39,0.52,0.3,0.3,8830.974604171986,8.830974604171987,19.575071233997733,2.499278270001014
