126,0.13,0.07,0.02,1.0,0.01,40.95186413600106,0.40951864136001065,9.134461534000025,0.25572827499991035,3.4
121,0.09,0.07,0.0,0.0,0.0,63.76629162000006,0.3188314581000003,9.134461534000025,0.12881304100005764,3.55
116,0.1,0.05,0.01,0.5,0.01,88.40468979700006,0.2946822993233335,9.134461534000025,0.12881304100005764,3.49
111,0.13,0.07,0.02,1.0,0.01,135.21422633500003,0.3380355658375001,9.907990844000096,0.12881304100005764,3.37
106,0.13,0.05,0.01,0.5,0.01,184.00418285200055,0.3680083657040011,11.412463720999995,0.12881304100005764,3.41
101,0.09,0.05,0.01,0.5,0.01,220.03298504000088,0.3667216417333348,13.690276180999945,0.12881304100005764,3.48
96,0.09,0.07,0.0,0.0,0.0,255.73635679200117,0.36533765256000167,14.38728256100012,0.12881304100005764,3.55
91,0.12,0.06,0.02,1.0,0.01,314.52038418000086,0.3931504802250011,16.11148795200006,0.12881304100005764,3.39
86,0.09,0.05,0.01,0.5,0.01,359.56120859700115,0.39951245399666796,18.465670404000093,0.12881304100005764,3.46
81,0.09,0.05,0.01,0.5,0.01,409.82885716800195,0.40982885716800194,18.83354815299981,0.12881304100005764,3.46
76,0.11,0.05,0.0,0.0,0.0,474.77367236999964,0.4316124294272724,20.26820809999981,0.12881304100005764,3.48
71,0.09,0.05,0.0,0.0,0.0,536.8398714680058,0.4473665595566715,21.396493948999705,0.12881304100005764,3.51
66,0.12,0.07,0.0,0.0,0.0,656.4205322050099,0.5049388709269307,23.111943051000253,0.12881304100005764,3.55
61,0.12,0.05,0.01,0.5,0.01,771.7101445280092,0.5512215318057209,24.261086775999956,0.12881304100005764,3.41
56,0.11,0.07,0.0,0.0,0.0,890.7813207800074,0.5938542138533383,25.433319928999936,0.12881304100005764,3.55
51,0.09,0.05,0.0,0.0,0.0,972.1013738850089,0.6075633586781306,26.511234096999942,0.12881304100005764,3.52
46,0.11,0.05,0.0,0.0,0.0,1073.3860340710112,0.6314035494535359,28.045633325999916,0.12881304100005764,3.55
41,0.17,0.18,0.02,0.57,0.01,857.0642163600023,8.570642163600024,20.765945766000186,8.203690233000088,3.11
36,0.17,0.17,0.01,0.5,0.01,1558.880456734003,7.794402283670015,20.765945766000186,6.078956905999803,3.17
31,0.09,0.1,0.0,0.29,0.0,1704.524510572001,5.681748368573337,20.765945766000186,1.0761714249997567,3.32
26,0.14,0.14,0.01,0.21,0.0,2126.382763168,5.31595690792,20.765945766000186,1.0761714249997567,3.22
21,0.15,0.14,0.02,0.5,0.01,2442.893698227004,4.885787396454008,20.765945766000186,1.0761714249997567,3.18
16,0.13,0.14,0.01,0.43,0.0,2742.313156568003,4.570521927613338,20.765945766000186,1.0761714249997567,3.23
11,0.15,0.16,0.02,0.57,0.01,3068.2364385320066,4.383194912188581,20.765945766000186,1.0761714249997567,3.18
