12,3.31,0.12,0.1,0.01,0.57,0.01,9.850210623000748,0.09850210623000749,2.1182065859998147,0.05758923799976401
11,3.34,0.11,0.1,0.01,0.29,0.0,18.94889768800249,0.09474448844001244,2.1182065859998147,0.05758923799976401
10,3.3,0.13,0.1,0.01,0.4,0.0,28.39449218400341,0.09464830728001138,2.1182065859998147,0.05758923799976401
9,2.56,0.39,0.33,0.14,0.66,0.08,82.62501147900502,0.20656252869751257,2.1182065859998147,0.05758923799976401
8,2.53,0.39,0.33,0.16,0.73,0.09,139.46402664100742,0.27892805328201487,2.5201704649998646,0.05758923799976401
7,2.52,0.4,0.35,0.16,0.67,0.09,162.41142329500553,0.27068570549167587,2.5201704649998646,0.05758923799976401
6,2.52,0.51,0.36,0.19,0.61,0.11,184.8067428480017,0.26400963264000243,2.5201704649998646,0.05758923799976401
5,2.59,0.51,0.34,0.19,0.64,0.11,209.103836142001,0.26137979517750126,2.8386420209999415,0.05758923799976401
4,2.65,0.51,0.35,0.2,0.62,0.12,231.6215743340017,0.25735730481555746,2.8386420209999415,0.05758923799976401
3,2.83,0.64,0.45,0.32,0.65,0.21,261.69637745,0.26169637745,2.8386420209999415,0.05758923799976401
