126,2.93,0.24,0.06,0.95,0.03,90.84588877000806,0.9084588877000805,3.1736141150004187,0.711916506000307
121,3.23,0.14,0.02,0.81,0.01,119.92397274400537,0.5996198637200268,3.591639311000108,0.22153132600033132
116,3.35,0.09,0.02,0.69,0.01,152.4426567420096,0.5081421891400321,4.413545019000594,0.19152053500056354
111,2.93,0.22,0.05,0.75,0.03,261.8908890330067,0.6547272225825168,5.780490890999317,0.19152053500056354
106,3.3,0.11,0.01,0.71,0.01,307.28207413500877,0.6145641482700175,6.238809074000528,0.19152053500056354
101,3.24,0.14,0.02,0.81,0.01,353.2780708940081,0.5887967848233469,8.520177946999866,0.19152053500056354
96,3.04,0.19,0.04,0.86,0.02,453.3331602300059,0.6476188003285799,9.08731541599991,0.19152053500056354
91,3.07,0.19,0.04,0.85,0.02,558.201922416999,0.6977524030212487,9.314770310000313,0.19152053500056354
86,3.25,0.13,0.02,0.71,0.01,611.3158081390038,0.6792397868211154,9.866869109000618,0.19152053500056354
81,3.34,0.09,0.02,0.71,0.01,661.652634506002,0.661652634506002,10.691079637000257,0.19152053500056354
76,3.1,0.17,0.04,0.86,0.02,758.2288099880025,0.6892989181709114,11.880403748999925,0.19152053500056354
71,3.02,0.18,0.04,0.89,0.02,1026.6506688560075,0.8555422240466729,14.479720572000588,0.19152053500056354
66,3.28,0.11,0.02,0.74,0.01,1108.3711451900072,0.8525931886076978,14.479720572000588,0.19152053500056354
61,6.4,0.15,0.13,0.33,0.08,1427.8460759210138,1.0198900542292957,21.11761286000001,0.19152053500056354
56,9.5,0.1,0.1,0.12,0.09,1933.7086598040187,1.2891391065360125,32.96498942400103,0.19152053500056354
51,9.8,0.14,0.13,0.14,0.12,2867.426459744018,1.7921415373400111,54.03945128699888,0.19152053500056354
46,7.39,0.06,0.07,0.28,0.04,4021.934356783011,2.365843739284124,70.22670019500038,0.19152053500056354
36,4.66,0.38,0.37,0.41,0.33,8954.065940005992,4.974481077781107,144.3062319239998,0.19152053500056354
31,13.59,0.13,0.14,0.14,0.13,15177.519873014007,7.9881683542178985,179.50889260400072,0.19152053500056354
26,4.96,0.39,0.38,0.41,0.35,22484.750321380005,11.242375160690003,213.8972174039991,0.19152053500056354
21,9.14,0.07,0.06,0.12,0.04,27074.146645887005,12.892450783755717,218.20450911199805,0.19152053500056354
16,3.46,0.56,0.56,0.59,0.54,32612.802297355032,14.824001044252288,246.20353286699537,0.19152053500056354
11,6.74,0.21,0.2,0.21,0.19,39827.21432443807,17.31618014106003,305.0229735900066,0.19152053500056354
126,3.09,0.17,0.04,0.95,0.02,95.67669759399587,0.9567669759399586,6.27121503599983,0.6903655999999501
121,3.29,0.11,0.01,0.71,0.01,129.58242478499778,0.6479121239249889,6.27121503599983,0.22164889600026072
116,3.38,0.08,0.01,0.43,0.0,159.75274981399707,0.5325091660466569,6.27121503599983,0.18566431999988708
111,3.06,0.17,0.03,0.93,0.01,251.63373667299356,0.629084341682484,6.27121503599983,0.18566431999988708
106,3.27,0.12,0.01,0.71,0.01,295.63614267699313,0.5912722853539862,6.27121503599983,0.18566431999988708
101,3.29,0.11,0.02,0.71,0.01,340.26911534599594,0.5671151922433265,8.692894371999955,0.18566431999988708
96,3.12,0.16,0.02,0.95,0.01,437.12843515599434,0.6244691930799919,8.692894371999955,0.18566431999988708
91,3.04,0.19,0.04,0.97,0.02,535.3176857259937,0.669147107157492,9.369412864999958,0.18566431999988708
86,3.35,0.09,0.01,0.57,0.0,590.469252387998,0.6560769470977756,9.889482394999959,0.18566431999988708
81,3.37,0.08,0.01,0.57,0.0,642.5911545669974,0.6425911545669973,10.707078667999667,0.18566431999988708
76,3.12,0.17,0.02,1.0,0.01,744.5590421199972,0.6768718564727247,11.973853411000164,0.18566431999988708
71,3.06,0.19,0.02,0.69,0.01,1011.2661880079977,0.8427218233399981,14.665538964999996,0.18566431999988708
66,3.34,0.09,0.01,0.57,0.0,1097.384547018999,0.8441419592453838,14.665538964999996,0.18566431999988708
61,4.22,0.13,0.1,0.41,0.06,1416.7161911309886,1.0119401365221348,20.578625930999806,0.18566431999988708
56,160.19,0.06,0.06,0.06,0.06,1929.4299067839856,1.286286604522657,35.09119305599961,0.18566431999988708
51,14.27,0.1,0.09,0.1,0.08,2867.0066903069783,1.7918791814418613,53.555933044000085,0.18566431999988708
46,20.14,0.06,0.06,0.07,0.06,4031.053556019987,2.371207974129404,70.56262519200027,0.18566431999988708
