12,3.31,0.11,0.01,0.45,0.01,6.3291376019979,0.9433682959997896,0.039413043000422476
11,3.37,0.11,0.02,0.5,0.01,12.519198267998945,0.9433682959997896,0.039413043000422476
10,3.4,0.11,0.0,0.21,0.0,20.10944758599635,1.635519727999963,0.039413043000422476
9,3.19,0.15,0.03,0.83,0.01,36.34651299500456,2.9791546540000127,0.039413043000422476
8,3.24,0.14,0.02,0.71,0.01,56.49277082601111,2.9791546540000127,0.039413043000422476
7,3.21,0.14,0.02,0.61,0.01,82.48357702601425,2.9791546540000127,0.039413043000422476
6,2.87,0.2,0.01,0.5,0.0,177.30256278401703,3.0767816470006437,0.039413043000422476
5,2.86,0.19,0.0,0.21,0.0,265.25368852001975,3.0767816470006437,0.039413043000422476
4,2.91,0.21,0.0,0.0,0.0,356.279752972021,3.0767816470006437,0.039413043000422476
3,1.65,0.51,0.36,0.81,0.23,478.3681745040185,3.0767816470006437,0.039413043000422476
